latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
6.42686,100.69159,333.95,0.53,0.42,2026-01-08,0626,N,nominal,2.0NRT,291.51,5.21,D
12.71015,101.03905,335.73,0.43,0.38,2026-01-08,0629,N,nominal,2.0NRT,303.41,3.21,D
12.51934,99.81982,328.17,0.5,0.41,2026-01-08,0629,N,nominal,2.0NRT,299.8,1.4,D
12.73027,99.89754,334.62,0.49,0.4,2026-01-08,0629,N,nominal,2.0NRT,299.27,4.13,D
12.7302,99.87459,326.94,0.49,0.4,2026-01-08,0629,N,low,2.0NRT,299.13,3.37,D
13.10089,101.18002,335.84,0.42,0.38,2026-01-08,0629,N,low,2.0NRT,307.63,13.95,D
13.10436,101.17945,338.13,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,300.54,13.95,D
12.93332,98.62408,338.01,0.57,0.43,2026-01-08,0629,N,nominal,2.0NRT,301.55,10.46,D
13.46536,101.03902,336.14,0.43,0.38,2026-01-08,0629,N,nominal,2.0NRT,298.2,1.39,D
13.47103,101.03,337.5,0.43,0.38,2026-01-08,0629,N,nominal,2.0NRT,297.27,1.81,D
13.46672,100.93764,336.5,0.43,0.38,2026-01-08,0629,N,nominal,2.0NRT,297.91,3.07,D
13.68631,101.47221,332.18,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,300.73,2.17,D
13.35536,99.40382,337.9,0.51,0.41,2026-01-08,0629,N,nominal,2.0NRT,297.73,6.16,D
13.76748,101.60973,342.34,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,303.54,4.88,D
13.48689,99.40323,329.77,0.51,0.41,2026-01-08,0629,N,nominal,2.0NRT,302.5,1.69,D
13.86351,101.46612,336.45,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,304.4,5.34,D
13.86692,101.46554,350.45,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,302.26,5.34,D
13.87033,101.46497,338.03,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,304.16,2.44,D
13.88555,101.45075,345.66,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,303.18,33.89,D
13.88957,101.45396,343.44,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,306.7,53.99,D
13.88896,101.45018,306.5,0.41,0.37,2026-01-08,0629,N,low,2.0NRT,307.34,53.99,D
13.98962,101.8161,343.89,0.4,0.37,2026-01-08,0629,N,nominal,2.0NRT,304.89,6.22,D
13.96402,101.65675,340.63,0.4,0.37,2026-01-08,0629,N,nominal,2.0NRT,302.62,3.94,D
13.96741,101.65619,339.63,0.4,0.37,2026-01-08,0629,N,nominal,2.0NRT,303.59,4.45,D
13.96239,101.60343,336.22,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,300.39,3.18,D
13.83747,100.72903,330.61,0.43,0.38,2026-01-08,0629,N,low,2.0NRT,301.62,1.43,D
13.96041,101.46117,332.32,0.41,0.37,2026-01-08,0629,N,low,2.0NRT,304.65,2.94,D
13.97944,101.31787,331.99,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,299,3.13,D
13.98544,101.28946,341.6,0.41,0.37,2026-01-08,0629,N,nominal,2.0NRT,300.58,9.88,D
